feature,importance
discharged_roll_3_mean,50.38965
discharge_effectiveness,37.978233
discharged_roll_7_mean,31.632374
discharged_roll_3_min,17.030283
apprehended_roll_3_mean,9.361498
discharged_roll_3_max,6.2906466
apprehended_lag_1,5.6860037
backlog_accumulation,5.5169
hhs_care_lag_1,3.7918444
transferred_out_roll_3_mean,2.5728946
cbp_custody_lag_7,2.0478668
discharged_velocity,1.3981322
net_hhs_flow,1.3887765
cbp_custody_lag_3,1.0945255
hhs_care_lag_7,1.0002153
apprehended_roll_3_max,0.8487049
hhs_care_roll_3_mean,0.81484425
discharged_roll_14_mean,0.7646604
discharged_roc_7,0.607252
discharged_roll_7_min,0.5738531
hhs_care_roll_3_min,0.5434229
apprehended_lag_7,0.48737505
cbp_custody_lag_1,0.46004504
discharged_pct_change,0.44819403
discharged_daily_growth,0.44640213
day_of_week,0.42327088
hhs_care_roll_3_max,0.4213803
month,0.34276626
cbp_custody_roll_14_mean,0.3193224
transferred_out_roll_30_mean,0.25208908
transferred_out_lag_3,0.23439161
hhs_care_roll_7_max,0.22967958
apprehended_roll_14_mean,0.2113687
discharged_roll_7_max,0.19924787
hhs_care_roll_14_max,0.16879798
hhs_care_roll_14_mean,0.15627128
week_number,0.14094433
apprehended_roll_3_min,0.1385439
hhs_care_roll_30_mean,0.12681793
hhs_care_roll_7_mean,0.12384622
hhs_care_roll_7_min,0.11569439
discharged_lag_14,0.10432124
hhs_care_lag_3,0.10222054
transferred_out_roc_7,0.095452085
discharged_lag_1,0.08995565
transferred_out_roll_30_max,0.08921622
apprehended_roll_30_std,0.0790248
hhs_care_lag_14,0.07537817
discharged_roll_3_std,0.07445944
hhs_care_daily_growth,0.07136595
hhs_care_lag_30,0.07126531
discharged_roll_30_mean,0.06325528
transferred_out_lag_14,0.060035467
discharged_roll_30_std,0.05635206
discharged_roll_14_std,0.05605739
hhs_care_roll_30_std,0.055195108
cbp_custody_lag_14,0.052401643
apprehended_lag_30,0.052081604
cbp_custody_lag_30,0.05177278
cbp_custody_roll_3_min,0.05025296
cbp_custody_roll_7_std,0.046453215
day_of_year,0.0454629
apprehended_roll_7_mean,0.041586917
transferred_out_lag_1,0.040303044
discharged_lag_3,0.039088767
transferred_out_lag_7,0.03872309
cbp_custody_roc_7,0.034124814
hhs_care_roll_30_min,0.032971654
pipeline_throughput,0.031908073
cumulative_backlog,0.031746373
hhs_care_roll_14_min,0.031047938
apprehended_roll_7_min,0.028385092
apprehended_lag_3,0.028377298
cbp_custody_roll_14_max,0.026967894
hhs_care_roll_14_std,0.026697535
apprehended_roll_30_min,0.025650237
apprehended_roll_30_mean,0.024652502
apprehended_roll_3_std,0.024402509
cbp_custody_roll_3_max,0.024264595
discharged_lag_7,0.023445461
transferred_out_roll_7_std,0.022123626
apprehended_pct_change,0.021902023
hhs_care_momentum,0.021720447
discharged_roll_30_min,0.020949768
dow_cos,0.020831423
apprehended_roll_7_std,0.020518601
apprehended_roll_14_max,0.020277858
transferred_out_pct_change,0.020146746
day,0.019165238
hhs_care_roll_3_std,0.018695999
cbp_custody_roll_30_mean,0.018082859
apprehended_lag_14,0.017958546
apprehended_roc_7,0.017917281
transferred_out_roll_14_min,0.017891675
cbp_custody_velocity,0.017743614
transferred_out_roll_3_min,0.01759791
apprehended_momentum,0.017365629
discharged_roll_7_std,0.016692607
transferred_out_roll_30_std,0.016551565
discharged_roll_14_max,0.016401632
transfer_efficiency_ratio,0.015395141
transferred_out_roll_3_std,0.0147181135
discharged_roll_14_min,0.014439
cbp_custody_roll_30_std,0.01439003
discharged_roll_30_max,0.014383459
transferred_out_lag_30,0.013275836
cbp_custody_roll_3_std,0.013212695
hhs_care_pct_change,0.012995897
transferred_out_roll_7_mean,0.011480613
transferred_out_momentum,0.011078277
transferred_out_roll_14_std,0.010612334
transferred_out_velocity,0.010341634
transferred_out_roll_7_max,0.009475424
hhs_care_roc_7,0.008920482
discharged_lag_30,0.008460362
cbp_custody_roll_7_max,0.008457506
transferred_out_roll_14_max,0.008294462
transferred_out_daily_growth,0.007210272
cbp_custody_roll_3_mean,0.006723958
hhs_care_roll_7_std,0.0064349244
cbp_custody_roll_7_mean,0.006064896
apprehended_roll_7_max,0.0054939967
apprehended_roll_14_min,0.005178539
discharged_momentum,0.0051471633
cbp_custody_roll_7_min,0.0051172148
apprehended_velocity,0.0049949344
cbp_custody_daily_growth,0.0049718963
cbp_custody_roll_14_std,0.004710738
apprehended_roll_14_std,0.0046706176
apprehended_daily_growth,0.0045723584
transferred_out_roll_7_min,0.0045096236
cbp_custody_momentum,0.0042277756
hhs_care_roll_30_max,0.0042181737
cbp_custody_pct_change,0.0040665935
apprehended_roll_30_max,0.003791016
transferred_out_roll_3_max,0.0035986942
cbp_custody_roll_14_min,0.0035354174
cbp_custody_roll_30_min,0.0035250117
month_cos,0.0034335253
cbp_processing_rate,0.0025456673
transferred_out_roll_14_mean,0.002440307
hhs_care_velocity,0.0024095583
dow_sin,0.0019439235
cbp_custody_roll_30_max,0.00090419257
month_sin,0.0008316407
custody_change,0.00083137926
transferred_out_roll_30_min,0.0007599418
hhs_care_change,0.0006182467
quarter,0.0005741378
year,0.00031123625
is_weekend,0.00010478591
hhs_care_outlier,0.0
discharged_outlier,0.0
transferred_out_outlier,0.0
cbp_custody_outlier,0.0
apprehended_outlier,0.0
